Name,Team,Week,Season,Rec ,Rec_Tgt ,Rec_Yds ,Rec_Y/R ,Rec_TD ,KR_TD ,PR_TD ,FumL ,FanPts,FanPts_HalfPPR,FanPts_PPR
A.J. Green,CIN,14,2014,11,15,224,20.4,1,0,0,0,28.4,33.9,39.4
A.J. Green,CIN,1,2014,6,9,131,21.8,1,0,0,0,19.1,22.1,25.1
A.J. Green,CIN,11,2014,6,8,127,21.2,1,0,0,0,18.7,21.7,24.7
A.J. Green,CIN,12,2014,12,16,121,10.1,0,0,0,0,12.1,18.1,24.1
A.J. Green,CIN,5,2014,5,7,81,16.2,1,0,0,1,12.1,14.6,17.1
A.J. Green,CIN,13,2014,4,8,57,14.3,1,0,0,0,11.7,13.7,15.7
A.J. Green,CIN,9,2014,3,6,44,14.7,1,0,0,0,10.4,11.9,13.4
A.J. Green,CIN,3,2014,6,9,102,17,0,0,0,0,10.2,13.2,16.2
A.J. Green,CIN,17,2014,8,13,82,10.3,0,0,0,1,6.2,10.2,14.2
A.J. Green,CIN,15,2014,5,11,49,9.8,0,0,0,0,4.9,7.4,9.9
A.J. Green,CIN,10,2014,3,10,23,7.7,0,0,0,0,2.3,3.8,5.3
A.J. Green,CIN,16,2014,0,4,0,N/A ,0,0,0,0,0,0,0
A.J. Green,CIN,1,2013,9,13,162,18,2,0,0,0,28.2,32.7,37.2
A.J. Green,CIN,6,2012,7,11,135,19.3,2,0,0,0,25.5,29,32.5
A.J. Green,CIN,3,2012,9,11,183,20.3,1,0,0,0,24.3,28.8,33.3
A.J. Green,CIN,16,2013,7,12,97,13.9,2,0,0,0,21.7,25.2,28.7
A.J. Green,CIN,7,2013,6,8,155,25.8,1,0,0,0,21.5,24.5,27.5
A.J. Green,CIN,10,2013,8,15,151,18.9,1,0,0,0,21.1,25.1,29.1
A.J. Green,CIN,2,2011,10,N/A ,124,12.4,1,0,0,0,18.4,23.4,28.4
A.J. Green,CIN,4,2012,6,9,117,19.5,1,0,0,0,17.7,20.7,23.7
A.J. Green,CIN,6,2013,6,11,103,17.2,1,0,0,0,16.3,19.3,22.3
A.J. Green,CIN,9,2012,7,9,99,14.1,1,0,0,0,15.9,19.4,22.9
A.J. Green,CIN,11,2012,6,12,91,15.2,1,0,0,0,15.1,18.1,21.1
A.J. Green,CIN,5,2011,5,N/A ,90,18,1,0,0,0,15,17.5,20
A.J. Green,CIN,13,2011,6,N/A ,87,14.5,1,0,0,0,14.7,17.7,20.7
A.J. Green,CIN,10,2012,7,10,85,12.1,1,0,0,0,14.5,18,21.5
A.J. Green,CIN,13,2013,5,7,83,16.6,1,0,0,0,14.3,16.8,19.3
A.J. Green,CIN,14,2013,6,8,72,12,1,0,0,0,13.2,16.2,19.2
A.J. Green,CIN,9,2013,11,19,128,11.6,0,0,0,0,12.8,18.3,23.8
A.J. Green,CIN,5,2012,9,13,65,7.2,1,0,0,0,12.5,17,21.5
A.J. Green,CIN,8,2011,4,N/A ,63,15.8,1,0,0,0,12.3,14.3,16.3
A.J. Green,CIN,17,2013,4,10,61,15.3,1,0,0,0,12.1,14.1,16.1
A.J. Green,CIN,2,2012,7,12,58,8.3,1,0,0,0,11.8,15.3,18.8
A.J. Green,CIN,4,2011,4,N/A ,118,29.5,0,0,0,0,11.8,13.8,15.8
A.J. Green,CIN,15,2012,6,10,57,9.5,1,0,0,0,11.7,14.7,17.7
A.J. Green,CIN,8,2013,3,7,115,38.3,0,0,0,0,11.5,13,14.5
A.J. Green,CIN,15,2011,6,N/A ,115,19.2,0,0,0,0,11.5,14.5,17.5
A.J. Green,CIN,12,2012,3,9,111,37,0,0,0,0,11.1,12.6,14.1
A.J. Green,CIN,6,2011,5,N/A ,51,10.2,1,0,0,0,11.1,13.6,16.1
A.J. Green,CIN,12,2011,3,N/A ,110,36.7,0,0,0,0,11,12.5,14
A.J. Green,CIN,3,2013,4,8,46,11.5,1,0,0,0,10.6,12.6,14.6
A.J. Green,CIN,1,2011,1,N/A ,41,41,1,0,0,0,10.1,10.6,11.1
A.J. Green,CIN,16,2012,10,18,116,11.6,0,0,0,1,9.6,14.6,19.6
A.J. Green,CIN,10,2011,1,N/A ,36,36,1,0,0,0,9.6,10.1,10.6
A.J. Green,CIN,15,2013,9,18,93,10.3,0,0,0,0,9.3,13.8,18.3
A.J. Green,CIN,13,2012,9,13,85,9.4,0,0,0,0,8.5,13,17.5
A.J. Green,CIN,9,2011,7,N/A ,83,11.9,0,0,0,0,8.3,11.8,15.3
A.J. Green,CIN,1,2012,5,11,70,14,0,0,0,0,7,9.5,12
A.J. Green,CIN,7,2012,1,6,8,8,1,0,0,0,6.8,7.3,7.8
A.J. Green,CIN,5,2013,5,8,61,12.2,0,0,0,0,6.1,8.6,11.1
A.J. Green,CIN,14,2011,5,N/A ,59,11.8,0,0,0,0,5.9,8.4,10.9
A.J. Green,CIN,4,2013,7,15,51,7.3,0,0,0,0,5.1,8.6,12.1
A.J. Green,CIN,14,2012,3,8,44,14.7,0,0,0,0,4.4,5.9,7.4
A.J. Green,CIN,2,2013,6,14,41,6.8,0,0,0,0,4.1,7.1,10.1
A.J. Green,CIN,3,2011,4,N/A ,29,7.3,0,0,0,0,2.9,4.9,6.9
A.J. Green,CIN,17,2012,2,2,26,13,0,0,0,0,2.6,3.6,4.6
A.J. Green,CIN,17,2011,2,N/A ,26,13,0,0,0,0,2.6,3.6,4.6
A.J. Green,CIN,16,2011,2,N/A ,25,12.5,0,0,0,0,2.5,3.5,4.5
A.J. Green,CIN,11,2013,2,5,7,3.5,0,0,0,0,0.7,1.7,2.7
A.J. Jenkins,KAN,7,2014,2,2,37,18.5,0,0,0,0,3.7,4.7,5.7
A.J. Jenkins,KAN,10,2014,1,4,27,27,0,0,0,0,2.7,3.2,3.7
A.J. Jenkins,KAN,2,2014,3,3,16,5.3,0,0,0,0,1.6,3.1,4.6
A.J. Jenkins,KAN,9,2014,1,3,10,10,0,0,0,0,1,1.5,2
A.J. Jenkins,KAN,5,2014,1,2,3,3,0,0,0,0,0.3,0.8,1.3
A.J. Jenkins,KAN,4,2014,1,1,0,0,0,0,0,0,0,0.5,1
A.J. Jenkins,KAN,3,2014,0,0,0,N/A ,0,0,0,0,0,0,0
A.J. Jenkins,KAN,17,2013,3,7,67,22.3,0,0,0,0,6.7,8.2,9.7
A.J. Jenkins,KAN,13,2013,3,4,35,11.7,0,0,0,0,3.5,5,6.5
A.J. Jenkins,KAN,12,2013,1,1,22,22,0,0,0,0,2.2,2.7,3.2
A.J. Jenkins,KAN,3,2013,1,2,6,6,0,0,0,0,0.6,1.1,1.6
A.J. Jenkins,KAN,15,2013,0,1,0,N/A ,0,0,0,0,0,0,0
A.J. Jenkins,KAN,6,2013,0,1,0,N/A ,0,0,0,0,0,0,0
A.J. Jenkins,KAN,5,2013,0,1,0,N/A ,0,0,0,0,0,0,0
A.J. Jenkins,SFO,17,2012,0,1,0,N/A ,0,0,0,0,0,0,0
Aaron Dobson,NWE,5,2014,1,1,16,16,0,0,0,0,1.6,2.1,2.6
Aaron Dobson,NWE,2,2014,1,2,13,13,0,0,0,0,1.3,1.8,2.3
Aaron Dobson,NWE,6,2014,1,1,9,9,0,0,0,0,0.9,1.4,1.9
Aaron Dobson,NWE,13,2014,0,1,0,N/A ,0,0,0,0,0,0,0
Aaron Dobson,NWE,9,2013,5,9,130,26,2,0,0,0,25,27.5,30
Aaron Dobson,NWE,8,2013,4,5,60,15,1,0,0,0,12,14,16
Aaron Dobson,NWE,2,2013,3,10,56,18.7,1,0,0,0,11.6,13.1,14.6
Aaron Dobson,NWE,6,2013,6,10,63,10.5,0,0,0,0,6.3,9.3,12.3
Aaron Dobson,NWE,3,2013,7,10,52,7.4,0,0,0,0,5.2,8.7,12.2
Aaron Dobson,NWE,5,2013,2,4,49,24.5,0,0,0,0,4.9,5.9,6.9
Aaron Dobson,NWE,11,2013,4,7,38,9.5,0,0,0,0,3.8,5.8,7.8
Aaron Dobson,NWE,7,2013,3,7,34,11.3,0,0,0,0,3.4,4.9,6.4
Aaron Dobson,NWE,16,2013,1,4,21,21,0,0,0,0,2.1,2.6,3.1
Aaron Dobson,NWE,4,2013,1,3,10,10,0,0,0,0,1,1.5,2
Aaron Dobson,NWE,17,2013,1,3,6,6,0,0,0,0,0.6,1.1,1.6
Ace Sanders,JAC,17,2014,1,1,24,24,0,0,0,0,2.4,2.9,3.4
Ace Sanders,JAC,5,2014,2,2,12,6,0,0,0,0,1.2,2.2,3.2
Ace Sanders,JAC,14,2014,1,1,9,9,0,0,0,0,0.9,1.4,1.9
Ace Sanders,JAC,16,2014,0,0,0,0,0,0,0,0,0,0,0
Ace Sanders,JAC,15,2014,0,0,0,0,0,0,0,0,0,0,0
Ace Sanders,JAC,13,2014,0,0,0,0,0,0,0,0,0,0,0
Ace Sanders,JAC,12,2014,0,0,0,0,0,0,0,0,0,0,0
Ace Sanders,JAC,9,2014,0,0,0,0,0,0,0,0,0,0,0
Ace Sanders,JAC,8,2014,0,0,0,0,0,0,0,0,0,0,0
Ace Sanders,JAC,7,2014,1,1,0,0,0,0,0,0,0,0.5,1
Ace Sanders,JAC,6,2014,0,1,0,N/A ,0,0,0,0,0,0,0
Ace Sanders,JAC,10,2014,1,1,10,10,0,0,0,1,-1,-0.5,0
Ace Sanders,JAC,15,2013,2,3,17,8.5,1,0,0,0,7.7,8.7,9.7
Ace Sanders,JAC,13,2013,8,11,67,8.4,0,0,0,0,6.7,10.7,14.7
Ace Sanders,JAC,2,2013,5,7,64,12.8,0,0,0,0,6.4,8.9,11.4
Ace Sanders,JAC,12,2013,4,5,61,15.3,0,0,0,0,6.1,8.1,10.1
Ace Sanders,JAC,11,2013,8,10,61,7.6,0,0,0,0,6.1,10.1,14.1
Ace Sanders,JAC,4,2013,4,8,59,14.8,0,0,0,0,5.9,7.9,9.9
Ace Sanders,JAC,17,2013,6,14,50,8.3,0,0,0,0,5,8,11
Ace Sanders,JAC,14,2013,3,6,26,8.7,0,0,0,0,2.6,4.1,5.6
Ace Sanders,JAC,3,2013,2,3,25,12.5,0,0,0,0,2.5,3.5,4.5
Ace Sanders,JAC,16,2013,4,5,20,5,0,0,0,0,2,4,6
Ace Sanders,JAC,1,2013,3,9,14,4.7,0,0,0,0,1.4,2.9,4.4
Ace Sanders,JAC,8,2013,1,1,11,11,0,0,0,0,1.1,1.6,2.1
Ace Sanders,JAC,6,2013,1,3,9,9,0,0,0,0,0.9,1.4,1.9
Ace Sanders,JAC,10,2013,0,1,0,N/A ,0,0,0,0,0,0,0
Ace Sanders,JAC,5,2013,0,1,0,N/A ,0,0,0,0,0,0,0
Adam Jennings,DET ,4,2009,0,N/A ,0,0,0,0,0,0,0,0,0
Adam Jennings,ATL ,6,2008,0,N/A ,0,0,0,0,0,0,0,0,0
Adam Jennings,ATL ,5,2008,0,N/A ,0,0,0,0,0,0,0,0,0
Adam Jennings,ATL ,4,2008,0,N/A ,0,0,0,0,0,0,0,0,0
Adam Jennings,ATL ,2,2008,0,N/A ,0,0,0,0,0,0,0,0,0
Adam Jennings,ATL ,1,2008,0,N/A ,0,0,0,0,0,0,0,0,0
Adam Jennings,DET ,13,2008,0,N/A ,0,,0,0,0,1,-2,-2,-2
Adam Jennings,ATL ,8,2008,0,N/A ,0,,0,0,0,1,-2,-2,-2
Adam Jennings,ATL ,3,2008,0,N/A ,0,,0,0,0,1,-2,-2,-2
Adam Thielen,MIN,17,2014,3,3,68,22.7,1,0,0,0,12.8,14.3,15.8
Adam Thielen,MIN,5,2014,4,5,57,14.3,0,0,0,0,5.7,7.7,9.7
Adam Thielen,MIN,16,2014,1,1,12,12,0,0,0,0,1.2,1.7,2.2
Adam Thielen,MIN,12,2014,0,0,0,0,0,0,0,0,0,0,0
Adam Thielen,MIN,8,2014,0,1,0,N/A ,0,0,0,0,0,0,0
Adam Thielen,MIN,7,2014,0,1,0,N/A ,0,0,0,0,0,0,0
Adam Thielen,MIN,2,2014,0,2,0,N/A ,0,0,0,0,0,0,0
Adrian Arrington,NOR,17,2010,7,N/A ,79,11.3,0,0,0,0,7.9,11.4,14.9
Adrian Arrington,NOR,17,2011,1,N/A ,17,17,0,0,0,0,1.7,2.2,2.7
Adrian Arrington,NOR,2,2011,1,N/A ,14,14,0,0,0,0,1.4,1.9,2.4
Albert Wilson,KAN,16,2014,5,7,87,17.4,0,0,0,0,8.7,11.2,13.7
Albert Wilson,KAN,15,2014,3,5,69,23,0,0,0,0,6.9,8.4,9.9
Albert Wilson,KAN,14,2014,4,8,53,13.3,0,0,0,0,5.3,7.3,9.3
Albert Wilson,KAN,12,2014,2,2,27,13.5,0,0,0,0,2.7,3.7,4.7
Albert Wilson,KAN,9,2014,1,1,13,13,0,0,0,0,1.3,1.8,2.3
Albert Wilson,KAN,7,2014,1,1,11,11,0,0,0,0,1.1,1.6,2.1
Albert Wilson,KAN,17,2014,0,4,0,N/A ,0,0,0,0,0,0,0
Albert Wilson,KAN,13,2014,0,0,0,0,0,0,0,0,0,0,0
Aldrick Robinson,WAS,2,2014,1,2,6,6,0,0,0,0,0.6,1.1,1.6
Aldrick Robinson,WAS,4,2014,0,1,0,N/A ,0,0,0,0,0,0,0
Aldrick Robinson,WAS,7,2013,2,2,75,37.5,1,0,0,0,13.5,14.5,15.5
Aldrick Robinson,WAS,12,2012,1,1,68,68,1,0,0,0,12.8,13.3,13.8
Aldrick Robinson,WAS,11,2013,2,3,60,30,1,0,0,0,12,13,14
Aldrick Robinson,WAS,1,2012,4,6,52,13,1,0,0,0,11.2,13.2,15.2
Aldrick Robinson,WAS,11,2012,1,1,49,49,1,0,0,0,10.9,11.4,11.9
Aldrick Robinson,WAS,15,2013,4,7,99,24.8,0,0,0,0,9.9,11.9,13.9
Aldrick Robinson,WAS,14,2013,4,6,67,16.8,0,0,0,0,6.7,8.7,10.7
Aldrick Robinson,WAS,2,2012,2,3,40,20,0,0,0,0,4,5,6
Aldrick Robinson,WAS,17,2013,3,11,33,11,0,0,0,0,3.3,4.8,6.3
Aldrick Robinson,WAS,16,2013,1,3,14,14,0,0,0,0,1.4,1.9,2.4
Aldrick Robinson,WAS,2,2013,1,2,13,13,0,0,0,0,1.3,1.8,2.3
Aldrick Robinson,WAS,3,2012,1,3,12,12,0,0,0,0,1.2,1.7,2.2
Aldrick Robinson,WAS,5,2012,1,1,10,10,0,0,0,0,1,1.5,2
Aldrick Robinson,WAS,9,2012,1,2,6,6,0,0,0,0,0.6,1.1,1.6
Aldrick Robinson,WAS,9,2013,1,1,4,4,0,0,0,0,0.4,0.9,1.4
Aldrick Robinson,WAS,13,2013,0,2,0,N/A ,0,0,0,0,0,0,0
Aldrick Robinson,WAS,12,2013,0,3,0,N/A ,0,0,0,0,0,0,0
Aldrick Robinson,WAS,8,2013,0,2,0,N/A ,0,0,0,0,0,0,0
Aldrick Robinson,WAS,3,2013,0,2,0,N/A ,0,0,0,0,0,0,0
Aldrick Robinson,WAS,1,2013,0,2,0,N/A ,0,0,0,0,0,0,0
Aldrick Robinson,WAS,8,2012,0,1,0,N/A ,0,0,0,0,0,0,0
